Title	Item Type	Publication Year	Author.x	Publication Title	1st_author_origin	study_city	study_country	spatial_scale	type_of_analysis	disciplinary_focus	component	paradigm	dev_author_country	dev_sc	Author	Tema.central	Por.qué.no.se.incluye.	Información.extra	
5-Year study of rainwater chemistry in a coastal mega-city in South China	journalArticle	2010	"Huang, Xiao-Feng; Li, Xiang; He, Ling-Yan; Feng, Ning; Hu, Min; Niu, Yu-Wen; Zeng, Li-Wu"	ATMOSPHERIC RESEARCH	China	Shenzhen	China	c	qt	e	a	in	2	2	NA	NA	NA	NA	
A Comparative Analysis of Cruise Ports on the Mediterranean: The Case of Istanbul	conferencePaper	2009	"Kerestecioglu, Funda; Basdogan, Serhat"	SECOND INTERNATIONAL CONFERENCE/WORKSHOP ON THE STATE-OF-THE-ART OF ICM IN THE MEDITERRANEAN & BLACK SEA: IMMEDIATE NEEDS FOR RESEARCH, EDUCATION / TRAINING & IMPLEMENTATION	Turkey	Istanbul	Turkey	c	ql	se	ah	of	1	1	NA	NA	NA	NA	
A comparative study on biodeterioration and weathering effects in three sites of the Latin American cultural heritage	conferencePaper	2003	"Videla, HA; Herrera, LK"	MOLECULAR BIOLOGY AND CULTURAL HERITAGE	Mexico	Merida	Mexico	c	qt	e	a	in	2	2	NA	NA	NA	NA	
A computationally efficient hybrid approach for dynamic gas/aerosol transfer in air quality models	journalArticle	2000	"Capaldo, KP; Pilinis, C; Pandis, SN"	ATMOSPHERIC ENVIRONMENT	USA	Los Angeles	USA	c+	qt	e	b	in	1	1	NA	NA	NA	NA	
A CRITICAL DATA-ANALYSIS AND INTERPRETATION OF THE PH, ION LOADINGS AND ELECTRICAL-CONDUCTIVITY OF RAINWATER FROM THE TERRITORY OF HONG-KONG	journalArticle	1995	"SEQUEIRA, R; LUNG, F"	ATMOSPHERIC ENVIRONMENT	China	Hong Kong	China	c	qt	e	a	in	2	2	NA	NA	NA	NA	
A multi-resolution ensemble study of a tropical urban environment and its interactions with the background regional atmosphere	journalArticle	2013	"Li, Xian-Xiang; Koh, Tieh-Yong; Entekhabi, Dara; Roth, Matthias; Panda, Jagabandhu; Norford, Leslie K."	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES	Malaysia	Singapour	Malaysia	c+	qt	e	a	in	2	2	NA	NA	NA	NA	
A Qualitative Study of Environmental Factors Important for Physical Activity in Rural Adults	journalArticle	2015	"Cleland, Verity; Hughes, Clarissa; Thornton, Lukar; Venn, Alison; Squibb, Kathryn; Ball, Kylie"	PLOS ONE	Australia	Tasmania	Australia	c+	ql	se	ah	of	1	1	NA	NA	NA	NA	
A scenario-based approach to assess Ho Chi Minh City's urban development strategies against the impact of climate change	journalArticle	2011	"Storch, Harry; Downes, Nigel K."	CITIES	Germany	Ho Chi Minh City	Vietnam	c	m	ep	ah	for	1	2	NA	NA	NA	NA	
A survey of emerging contaminants in the estuarine receiving environment around Auckland, New Zealand	journalArticle	2014	"Stewart, Michael; Olsen, Greg; Hickey, Christopher W.; Ferreira, Bianca; Jelic, Aleksandra; Petrovic, Mira; Barcelo, Damia"	SCIENCE OF THE TOTAL ENVIRONMENT	New Zealand	Auckland	New Zealand	c-	qt	e	a	in	1	1	NA	NA	NA	NA	
Abundance and survival rates of green turtles in an urban environment: coexistence of humans and an endangered species	journalArticle	2010	"Eguchi, Tomoharu; Seminoff, Jeffrey A.; LeRoux, Robin A.; Dutton, Peter H.; Dutton, Donna L."	MARINE BIOLOGY	USA	San Diego	USA	c-	qt	e	b	in	1	1	NA	NA	NA	NA	
